X,Y
-12.847,-1.988599993
-13.8352,-2.141499996
-14.8235,-2.294499993
-15.8117,-2.447499998
-16.7999,-2.600399993
-17.7882,-2.753399998
-18.7764,-2.906399995
-19.7646,-3.059299998
-20.7529,-3.212299995
-21.7411,-3.3653
-22.7293,-3.518299997
-23.7175,-3.6712
-24.7058,-3.824199997
-25.694,-3.977199994
-26.6822,-4.130099997
-27.6705,-4.283099994
-28.6587,-4.436099999
-29.6469,-4.588999994
-30.6352,-4.741999999
-31.6234,-4.894999996
-32.6116,-5.048
-33.5999,-5.200899996
-34.5881,-5.3539
-35.5763,-5.506899998
-36.5645,-5.659800001
-37.5528,-5.812799998
-38.541,-5.965799995
-39.5292,-6.118699998
-40.5175,-6.271699995
-41.5057,-6.424699999
-42.4939,-6.577599995
-43.4822,-6.730599999
-44.4704,-6.883599997
-45.6667,-7.068799995
-46.655,-7.221699998
-47.6432,-7.374699995
-48.6314,-7.5277
-49.6197,-7.680599995
-50.6079,-7.8336
-51.5961,-7.986599997
-52.5843,-8.1395
-53.5726,-8.292499997
-54.5608,-8.445499994
-55.549,-8.598399997
-56.5373,-8.751399994
-57.5255,-8.904399999
-58.5137,-9.057399996
-59.502,-9.210299999
-60.4902,-9.363299996
-61.4784,-9.5163
-62.4667,-9.669199996
-63.4549,-9.8222
-64.4431,-9.975199997
-65.4314,-10.1281
-66.4196,-10.2811
-67.4078,-10.43409999
-68.396,-10.587
-69.3843,-10.73999999
-70.3725,-10.893
-71.3607,-11.04589999
-72.349,-11.1989
-73.3372,-11.3519
-74.3254,-11.5048
-74.8025,-10.5669
-74.9386,-9.576199994
-75.0748,-8.585499994
-75.2109,-7.594899997
-75.3471,-6.604199998
-75.4833,-5.613499999
-75.6194,-4.6228
-75.7556,-3.632099994
-75.8918,-2.641399995
-76.0279,-1.650699995
-76.1641,-0.659999996
-76.3002,0.330600001
-76.4364,1.3213
-76.5726,2.312000006
-76.7087,3.302700005
-76.8449,4.293400004
-76.9811,5.284100004
-77.1172,6.274800003
-77.2534,7.2654
-77.3895,8.256100006
-77.5257,9.246800005
-77.6619,10.2375
-77.798,11.2282
-77.9342,12.2189
-78.0704,13.2096
-78.2065,14.20020001
-78.3427,15.19090001
-78.4788,16.1816
-78.615,17.1723
-78.7512,18.163
-78.8873,19.1537
-79.0235,20.1444
-79.1597,21.1351
-79.2958,22.1257
-79.432,23.1164
-45.1333,-6.025199994
-45.5882,-5.134599999
-46.043,-4.244099997
-46.4978,-3.353499994
-46.9527,-2.462899998
-47.4075,-1.572299995
-47.8623,-0.6818
-48.3172,0.208800003
-48.772,1.099400006
-49.2268,1.990000002
-49.6817,2.880500004
-50.1365,3.7711
-50.5913,4.661700003
-51.0462,5.552300006
-51.501,6.442900002
-51.9558,7.333400004
-52.4107,8.223999999
-52.8655,9.114600003
-53.3203,10.00520001
-53.7752,10.8957
-54.23,11.7863
-54.6848,12.6769
-55.1397,13.5675
-55.5945,14.458
-56.0493,15.3486
-56.5042,16.2392
-56.959,17.1298
-57.4138,18.0204
-57.8687,18.9109
-58.3235,19.8015
-58.7783,20.6921
-59.2332,21.58270001
-59.688,22.4732
-60.1428,23.3638
-60.5976,24.2544
-61.0525,25.145
-61.5073,26.0355
-61.9621,26.9261
-62.417,27.8167
-62.8718,28.7073
-63.3266,29.5979
-63.7815,30.4884
-64.2363,31.379
-64.6911,32.2696
-65.146,33.1602
-65.6008,34.0507
-10.4964,5.816
-11.3711,6.3006
-12.2458,6.785300001
-13.1205,7.270000003
-13.9952,7.754600003
-14.8699,8.239300005
-15.7446,8.723999999
-16.6193,9.2086
-17.494,9.693300001
-18.3687,10.1779
-19.2434,10.6626
-20.1181,11.1473
-20.9928,11.63190001
-21.8675,12.1166
-22.7422,12.6013
-23.6169,13.0859
-24.4916,13.5706
-25.3663,14.0553
-26.241,14.5399
-27.1157,15.02460001
-27.9904,15.5093
-28.8651,15.9939
-29.7398,16.4786
-30.6145,16.9632
-31.4892,17.4479
-32.3639,17.93260001
-33.2386,18.41720001
-34.1133,18.9019
-34.988,19.3866
-35.8627,19.8712
-36.7374,20.3559
-37.6121,20.84060001
-38.4868,21.32520001
-39.3615,21.8099
-40.2362,22.2946
-41.1109,22.7792
-41.9856,23.2639
-42.8603,23.7485
-43.735,24.23320001
-44.6097,24.7179
-45.4844,25.2025
-46.3591,25.6872
-47.2338,26.1719
-48.1085,26.6565
-48.9832,27.14120001
-49.8579,27.6259
-50.7326,28.1105
-51.6073,28.5952
-52.482,29.0799
-53.3567,29.5645
-54.2314,30.04920001
-55.1061,30.53380001
-55.9808,31.0185
-56.8555,31.5032
-57.7302,31.9878
-58.6049,32.4725
-59.4796,32.95720001
-60.3543,33.44180001
-61.229,33.9265
-62.1037,34.4112
-62.9784,34.8958
-63.8531,35.3805
-78.7023,23.98270001
-77.9431,24.6335
-77.1838,25.28420001
-76.4245,25.935
-75.6653,26.5858
-74.906,27.2366
-74.1467,27.8874
-73.3875,28.5381
-72.6282,29.1889
-71.8689,29.83970001
-71.1097,30.4905
-70.3504,31.1413
-69.5911,31.792
-68.8319,32.4428
-68.0726,33.0936
-67.3133,33.7444
-66.5541,34.39520001
-65.2541,35.5094
-10.7848,4.858500004
-11.0732,3.901000001
-11.3616,2.943500005
-11.6499,1.9859
-11.9383,1.028400004
-12.2267,0.070900001
-12.5151,-0.886599995
-12.8035,-1.844099998
